Mot,Prononciation,Type
bonsaïfiassiez,bɔ̃zajifjasje,verbe_flexion
bonsaïfiassions,bɔ̃zajifjasjɔ̃,verbe_flexion
bonsaïfication,bɔ̃zajifikasjɔ̃,nom
bonsaïfications,bɔ̃zajifikasjɔ̃,nom_flexion
bonsaïfie,bɔ̃zajifi,verbe_flexion
bonsaïfient,bɔ̃zajifi,verbe_flexion
bonsaïfier,bɔ̃zajifje,verbe
bonsaïfiera,bɔ̃zajifiʁa,verbe_flexion
bonsaïfierai,bɔ̃zajifiʁe,verbe_flexion
bonsaïfieraient,bɔ̃zajifiʁɛ,verbe_flexion
bonsaïfierais,bɔ̃zajifiʁɛ,verbe_flexion
bonsaïfierait,bɔ̃zajifiʁɛ,verbe_flexion
bonsaïfieras,bɔ̃zajifiʁa,verbe_flexion
bonsaïfierez,bɔ̃zajifiʁe,verbe_flexion
bonsaïfieriez,bɔ̃zajifiʁje,verbe_flexion
bonsaïfierions,bɔ̃zajifiʁjɔ̃,verbe_flexion
bonsaïfierons,bɔ̃zajifiʁɔ̃,verbe_flexion
bonsaïfieront,bɔ̃zajifiʁɔ̃,verbe_flexion
bonsaïfies,bɔ̃zajifi,verbe_flexion
bonsaïfiez,bɔ̃zajifje,verbe_flexion
bonsaïfiiez,bɔ̃zajifije,verbe_flexion
bonsaïfiions,bɔ̃zajifijɔ̃,verbe_flexion
bonsaïfions,bɔ̃zajifjɔ̃,verbe_flexion
bonsaïfiâmes,bɔ̃zajifjam,verbe_flexion
