phonème,graphème,occurences,pourcentage,exemple_1,exemple_2,exemple_3
e,ai,58680,0.07,abadai,abaderai,abaierai
e,eh,26,0.0,behaviourisme,behaviourismes,brehaigne
e,et,656,0.0,admettable,admettables,aiguillettier
e,hé,10484,0.01,abishégam,absinthé,acathésie
e,hés,44,0.0,absinthés,arrhés,ashés
e,ae,81,0.0,aedelforsites,aedicule,aedicules
e,aî,139,0.0,autoentraîner,autotraîner,aîné
e,æ,579,0.0,anæmie,anæmies,aphærese
e,ay,98,0.0,abbaye,abraysien,abraysienne
e,e,12540,0.01,abelia,abelias,abellen
e,é,486995,0.58,aakérite,aakérites,aalénien
e,ey,74,0.0,alleyracois,alleyratois,alleyratoise
e,ha,2,0.0,hayer,milkshake,
e,he,137,0.0,anchitherium,anchitheriums,anthenois
e,hæ,86,0.0,adhæra,adhærai,adhæraient
e,œ,526,0.0,acœlomate,acœlomates,acœlomorphe
e,oe,98,0.0,acoelomé,acoelomés,caloenas
e,a,377,0.0,abbayes,aigayer,airedale
e,ê,1069,0.0,abêtit,apprêter,apprêtée
e,ë,14,0.0,aërométrie,aërométries,canoë
e,ée,26109,0.03,ababouinée,abadée,abaissée
e,ei,159,0.0,aveinière,aveinières,baleinier
e,aes,1,0.0,reggaes,,
e,ais,9,0.0,bandolais,bareuzais,chicoutais
e,ays,26,0.0,attograys,centigrays,charbrays
e,ed,113,0.0,antipied,assied,bipied
e,eds,63,0.0,antipieds,assieds,bipieds
e,ehe,1,0.0,yohimbehe,,
e,ehes,1,0.0,yohimbehes,,
e,ehs,3,0.0,dahabiehs,moucharabiehs,sakiehs
e,ee,19,0.0,beethovenien,beethovénien,beethovéniennes
e,ër,1,0.0,arguër,,
e,ets,50,0.0,agouets,alphadécédets,amelets
e,éent,50,0.0,agréent,autocréent,bléent
e,ées,25814,0.03,ababouinées,abadées,abaissées
e,ef,9,0.0,bief,clef,teffs
e,efs,6,0.0,clefs,contre-clefs,couvre-clefs
e,er,31369,0.03,abader,abaisser,abaler
e,ers,1824,0.0,abeillers,abeilliers,abergementiers
e,es,94,0.0,altérabilites,arares,auriverdes
e,és,27521,0.03,ababouinés,abadés,abaissés
e,ës,2,0.0,canoës,xylaloës,
e,ex,0,0.0,,,
e,ez,145681,0.17,abadassiez,abaderez,abaderiez
e,her,37,0.0,absinther,arrher,azimuther
ɛ,aie,1177,0.0,abaie,abaiera,abaierai
ɛ,aient,59035,0.12,abadaient,abaderaient,abaient
ɛ,aies,217,0.0,abaies,abricoteraies,abstraies
ɛ,ais,61264,0.13,aaronais,abadais,abaderais
ɛ,ait,59186,0.12,abadait,abaderait,abaierait
ɛ,ayent,2,0.0,ayent,dépotayent,
ɛ,es,9877,0.02,abbesse,abbesses,abessif
ɛ,est,8,0.0,c’est,divest,maisoùestdoncornicar
ɛ,haie,24,0.0,enhaie,enhaiera,enhaierai
ɛ,haies,2,0.0,enhaies,haies,
ɛ,hais,37,0.0,absinthais,arrhais,azimuthais
ɛ,hait,42,0.0,absinthait,arrhait,azimuthait
ɛ,haye,0,0.0,,,
ɛ,a,6386,0.01,abandonware,abandonwares,abayai
ɛ,ae,17,0.0,aerarium,baeckeofe,chaebol
ɛ,æ,88,0.0,adhære,adhærent,adhærera
ɛ,ai,21580,0.04,aaronaise,aaronaises,aastaises
ɛ,aî,2250,0.0,acconnaître,affaîta,affaîtage
ɛ,e,152689,0.33,aalénienne,aaléniennes,abamectin
ɛ,é,9348,0.02,abaliénera,abaliénerai,abaliéneraient
ɛ,è,53519,0.11,abadèche,abadèches,abadèrent
ɛ,ê,6035,0.01,abêti,abêtie,abêties
ɛ,ha,331,0.0,aftershava,aftershavai,aftershavaient
ɛ,hay,5,0.0,hayve,hayves,onhaytois
ɛ,he,4174,0.0,acrothermal,acrothermale,acrothermales
ɛ,hea,72,0.0,boghead,bogheads,headbanga
ɛ,hé,282,0.0,adhérera,adhérerai,adhéreraient
ɛ,hê,11,0.0,bohême,bohêmes,chêmes
ɛ,œ,85,0.0,acœle,acœles,amphicœle
ɛ,ä,0,0.0,,,
ɛ,ay,247,0.0,amaytois,amaytoise,amaytoises
ɛ,aye,26,0.0,archegaye,balayemens,balayement
ɛ,ey,296,0.0,alleycat,antidreyfusard,antidreyfusarde
ɛ,ë,302,0.0,aloës,boënnaises,boëssa
ɛ,ea,292,0.0,beefsteak,beefsteaks,break
