Mot,Prononciation,Type,Warn_code,Warn_label
arrêtemens,a.ʁɛː.tə.mɑ̃,nom_flexion,err_phonemes,ː
arsaguais,aʁ.sa.kɛ,adjectif,-,-
ascensoristes,a.sɔ̃.so.ʁist,nom_flexion,-,-
ascéennes,s.se.ɛn,adjectif_flexion,-,-
aspersoir,as.pɛʁ.swaːʁ,nom,err_phonemes,ː
astinage,as.tsi.naʊʒ,nom,err_phonemes,ʊ
astinage,as.tsi.naʒ,nom,-,-
astiner,as.tsi.ne,verbe,-,-
astineux,as.ts.nø,nom,-,-
astrocytaire,as.tʁɔ.si.tɛːʁ,adjectif,err_phonemes,ː
atchourissage,a.t͡ʃu.ʁi.saʒ,nom,-,-
atchourissages,a.t͡ʃu.ʁi.saʒ,nom_flexion,-,-
atha,a tɔ̃.n‿œ̃.bl‿a.vi,adverbe,-,-
athenæe,a.te.ne,nom,-,-
athenæes,a.te.ne,nom_flexion,-,-
athétosique,aʁ.te.to.zik,adjectif,-,-
athétosiques,aʁ.te.to.zik,adjectif_flexion,-,-
auditoire,o.di.twaːʁ,nom,err_phonemes,ː
auguet,o.ɡɛ̃,nom,-,-
aussitost,o.si.to,adverbe,-,-
auteures,o.tœ.ʁə,nom_flexion,-,-
autocoache,o.to.kɔtʃ,verbe_flexion,-,-
autocoachent,o.to.kɔtʃ,verbe_flexion,-,-
autocoaches,o.to.kɔtʃ,verbe_flexion,-,-
autogrâce,o.tɔ.ɡʁaːs,nom,err_phonemes,ː
autogrâces,o.tɔ.ɡʁaːs,nom_flexion,err_phonemes,ː
autologismes,neɔ.lɔ.ʒism,nom_flexion,-,-
autopatrouille,o.to.pa.truj,nom,err_phonemes,r
avagraha,a.va.ɡʁa.ha,nom,err_phonemes,h
avallonaise,a.va.lɔ.nɛ,adjectif_flexion,-,-
avha,a vɔ.tʁ‿œ̃.bl‿a.vi,adverbe,-,-
avoit,a.vwɛ,verbe_flexion,-,-
avril,ɑ.vʁɪl,nom,err_phonemes,ɪ
axiologies,a.kjsɔ.lɔ.ʒi,nom_flexion,-,-
azulejo,a.zu.le.xo,nom,err_phonemes,x
azulejos,a.zu.le.xo,nom_flexion,err_phonemes,x
azuléjo,a.zu.le.ʁo,nom,-,-
azziminia,at.si.mi.nja,nom,-,-
azziministe,at.si.mi.nist,nom,-,-
aïl,a.jil,nom,-,-
aïls,a.jil,nom_flexion,-,-
a’,a,pronom,-,-
baatɔnum,ba.tɔ.num,nom,err_letters,ɔ
baa’thiser,ba.a.ti.ze,verbe,-,-
baa’thisiez,ba.a.ti.zje,verbe_flexion,-,-
baa’thisions,ba.a.ti.zjɔ̃,verbe_flexion,-,-
baa’thisons,ba.a.ti.zɔ̃,verbe_flexion,-,-
babillemens,ba.biʎ.mɑ̃,nom_flexion,err_phonemes,ʎ
baboune,ba.bʊn,nom,err_phonemes,ʊ
babounes,ba.bʊn,nom_flexion,err_phonemes,ʊ
backstages,bak.stɛdʒ,nom_flexion,-,-
badminton,bad.min.tən,nom,-,-
bagelerie,be.ɡœl.ri,nom,err_phonemes,r
bageleries,be.ɡœl.ri,nom_flexion,err_phonemes,r
bah,baː,interjection,err_phonemes,ː
baharia,ba.(h)a.ʁja,nom,err_phonemes,h
bahaï,ba.hɑ.i,nom,err_phonemes,h
bahaï,ba.hɑ.i,adjectif,err_phonemes,h
bahaïe,ba.hɑ.i,adjectif_flexion,err_phonemes,h
bahaïe,ba.hɑ.i,nom,err_phonemes,h
bahaïes,ba.hɑ.i,adjectif_flexion,err_phonemes,h
bahaïes,ba.hɑ.i,nom_flexion,err_phonemes,h
bahaïsme,ba.hɑ.ism,nom,err_phonemes,h
bahaïsmes,ba.ʰa.ism,nom_flexion,err_phonemes,ʰ
bahá’í,ba.hɑ.i,adjectif,err_phonemes,h
bahá’í,ba.hɑ.i,nom,err_phonemes,h
bahá’íe,ba.hɑ.i,adjectif_flexion,err_phonemes,h
bahá’íe,ba.hɑ.i,nom_flexion,err_phonemes,h
bahá’íes,ba.hɑ.i,adjectif_flexion,err_phonemes,h
bahá’íes,ba.hɑ.i,nom_flexion,err_phonemes,h
bahá’ís,ba.a.i,adjectif_flexion,err_letters,í
bahá’ís,ba.a.i,nom_flexion,err_letters,í
baihua,ba.i.hu.a,nom,err_phonemes,h
baillarge,ba.jarʒ,nom,err_phonemes,r
banches,bɑ̃ːʃ,nom_flexion,err_phonemes,ː
bankable,bɑ̃n.kɛ.bəl,adjectif_num=2,-,-
barakies,ba.ʁa.kj,nom_flexion,-,-
barakîs,ba.ʁa.ki,nom_flexion,-,-
barbecues,baʁ.bə.kju,nom_flexion,-,-
barbirostre,baʁ.bi.rɔstʁ,adjectif,err_phonemes,r
barbirostres,baʁ.bi.rɔstʁ,adjectif_flexion,err_phonemes,r
barbâre,baʁ.bɑːʁ,adjectif,err_phonemes,ː
barbâre,baʁ.bɑːʁ,nom,err_phonemes,ː
barbéient,baʁ.bɛj,verbe_flexion,-,-
barbéies,baʁ.bɛj,verbe_flexion,-,-
bardache,baʁ.daːʃ,nom,err_phonemes,ː
barrouette,ba.ru.ɛt,nom,err_phonemes,r
barroussière,ba.ʁu.sjɛr,adjectif_flexion,err_phonemes,r
basco-,fʁɑ̃.ko,préfixe,-,-
baure,ba.o.ʁe,adjectif,-,-
baure,ba.o.ʁe,nom,-,-
bcp,bo.ku,adverbe,-,-
bcp,bo.ku,pronom indéfini,-,-
bd,bul.vaʁ,nom,-,-
beache,bitʃ,verbe_flexion,-,-
beachent,bitʃ,verbe_flexion,-,-
beaches,bitʃ,verbe_flexion,-,-
beachs,bitʃ,nom_flexion,-,-
beagle,bi.ɡəl,nom,-,-
beaucairien,bo.kɛ.ʁʁjɛ̃,adjectif,-,-
beauseigne,bœ.sɛɲ,interjection,-,-
becquebois,bɛk.bwɑ,nom,-,-
becquez,be.k,verbe_flexion,-,-
behā’ī,be.hɑ.i,nom,err_phonemes,h
behā’ī,be.hɑ.i,adjectif,err_phonemes,h
behā’īs,ba.hɑ.i,nom_flexion,err_phonemes,h
belgeoisants,t,nom_flexion,-,-
belgissimes,bɛl.ʒi.si.sim,adjectif_flexion,-,-
bembex,bɛ̃.bɛks,nom,-,-
bembidion,bɛ̃.bi.djɔ̃,nom,-,-
bembidions,bɛ̃.bi.djɔ̃,nom_flexion,-,-
bengalī,bɛŋ.ɡa.li,nom,err_letters,ī
bengalī,bɛŋ.ɡa.li,adjectif,err_letters,ī
bentōs,bɛn.to,nom_flexion,err_letters,ō
berdache,bɛʁ.daːʃ,nom,err_phonemes,ː
berdaches,bɛʁ.daːʃ,nom_flexion,err_phonemes,ː
berlinois,bɛʁ.li.nwɑ,adjectif,-,-
berlinoises,pa.ʁwa bɛʁ.li.nwaz,nom_flexion,-,-
bernables,bɛʁ.nabl(ə),adjectif_flexion,-,-
beubar,bə.baʁ,nom,-,-
beubars,bə.baʁ,nom_flexion,-,-
beuchelle,bə.ʃɛl,nom,-,-
beuchelles,bə.ʃɛl,nom_flexion,-,-
beuvien,bə.vjɛ̃,adjectif,-,-
bexarotène,be.ɡsa.ʁɔ.tɛn,nom,-,-
beya,be.ya,nom,-,-
beûrre,bœːʁ,nom,err_phonemes,ː
bibitif,bi.bi.ti,adjectif,-,-
bibitifs,bi.bi.ti,adjectif_flexion,-,-
bibitive,bi.bi.ti,adjectif_flexion,-,-
bibitives,bi.bi.ti,adjectif_flexion,-,-
bibliographiquement,bi.bljɔ.ɡʁa.fiq.mɑ̃,adverbe,err_phonemes,q
bichoffs,biʃ.ɔf,nom_flexion,-,-
bicornu,bis.kɔʁ.ny,adjectif,-,-
bicornue,bis.kɔʁ.ny,adjectif_flexion,-,-
bicornues,bis.kɔʁ.ny,adjectif_flexion,-,-
bicornus,bis.kɔʁ.ny,adjectif_flexion,-,-
bicêtrier,bi.sɛ.tʁi.ɛ,adjectif,-,-
bicêtriers,bi.sɛ.tʁi.ɛ,adjectif_flexion,-,-
bidonneuse,bi.dɔ.nœʁ,nom_flexion,-,-
bidépartementalisation,de.paʁ.tə.mɑ̃.ta.li.za.sjɔ̃,nom,-,-
bikewashing,baɪk.wa.ʃiŋ,nom,err_phonemes,ɪ
bilantiel,bi.lɑ̃.sj,adjectif,-,-
bilantielle,bi.lɑ̃.sj,adjectif_flexion,-,-
bilantielles,bi.lɑ̃.sj,adjectif_flexion,-,-
bilantiels,bi.lɑ̃.sj,adjectif_flexion,-,-
billigs,bi.lik,nom_flexion,-,-
biltongs,bil.tɔ̃ŋ,nom_flexion,-,-
binarisable,bi.na.ʁi.zabl̥,adjectif,err_phonemes,̥
binarisables,bi.na.ʁi.zabl̥,adjectif_flexion,err_phonemes,̥
binationalité,bi.na.sjɔ̃.na.li.te,nom,-,-
binationalités,bi.na.sjɔ̃.na.li.te,nom_flexion,-,-
binne,bɪn,nom,err_phonemes,ɪ
bioagresseur,bjo.a.ɡʁɛ.sœʁ de kyl.tyʁ,nom,-,-
bioagresseurs,bjo.a.ɡʁɛ.sœʁ de kyl.tyʁ,nom_flexion,-,-
bioindication,bjo.ɜ̃.di.ka.sjɔ̃,nom,err_phonemes,ɜ̃
bipentaphonique,bi.pœ̃.ta.fo.nik,adjectif,-,-
bisaïeux,bi.za.jœl,nom_flexion,-,-
bischoffs,biʃ.ɔf,nom_flexion,-,-
bisounoursifiant,bi.zo.nuʁ.si.fjɑ̃,verbe_flexion,-,-
bispatulée,bi.psa.ty.le,adjectif_flexion,-,-
bispatulées,bi.psa.ty.le,adjectif_flexion,-,-
bispatulés,bi.psa.ty.le,adjectif_flexion,-,-
bisseuses,bi.sœʁ,nom_flexion,-,-
bjr,bɔ̃.ʒuʁ,interjection,-,-
bjr,bɔ̃.ʒuʁ,nom,-,-
blade,blɛjd,nom_num=2,-,-
blaesheimois,blɛs.(h)aj.mwa,adjectif,err_phonemes,h
blaesheimoise,blɛs.(h)aj.mwaz,adjectif_flexion,err_phonemes,h
blaesheimoises,blɛs.(h)aj.mwaz,adjectif_flexion,err_phonemes,h
blaffard,ba.flaʁ,nom,-,-
blaffards,ba.flaʁ,nom_flexion,-,-
blaffs,blaf,nom_flexion,-,-
blanchettes,blɑ̃.ʃɛt(ə),nom_flexion,-,-
blastozoïdes,blas.tɔ.ʒɔ.id,nom_flexion,-,-
blinder,sə blɛ̃.de,verbe_num=2,-,-
blitzkrieg,blits.kriɡ,nom,err_phonemes,r
blockbuster,blɔk.bə.stœʁ,nom,-,-
blockbusters,blɔk.bə.stœʁ,nom_flexion,-,-
bloggeuses,blɔ.ɡœʁ,nom_flexion,-,-
blogguer,blɔ.ɡe,verbe,-,-
blokes,bloːk,nom_flexion,err_phonemes,ː
blossissemens,blɔ.si.mɑ̃,nom_flexion,-,-
blossissement,bl.ɔsi.mɑ̃,nom,-,-
blossissements,bl.ɔsi.mɑ̃,nom_flexion,-,-
blowjobs,blɔ.djɔb,nom_flexion,-,-
bluegrass,blu.ɡʁas,nom,-,-
bluejean,blud.ʒin,nom,-,-
bluejeans,blud.ʒin,nom_flexion,-,-
blues,bluz,nom,-,-
bluesman,bluz.man,nom,-,-
bluesmans,bluz.man,nom_flexion,-,-
bluesmen,bluz.mɛn,nom_flexion,-,-
bluesy,bluzi,adjectif,-,-
bluffante,blø.fɑ̃t,adjectif_flexion,-,-
bluffantes,blø.fɑ̃t,adjectif_flexion,-,-
bluffants,blø.fɑ̃,adjectif_flexion,-,-
bluffs,blœf,nom_flexion,-,-
blæsheimois,blɛs.(h)aj.mwa,adjectif,err_phonemes,h
blæsheimoise,blɛs.(h)aj.mwaz,adjectif_flexion,err_phonemes,h
blæsheimoises,blɛs.(h)aj.mwaz,adjectif_flexion,err_phonemes,h
blót,blo,nom,err_letters,ó
bocager,bɔ.ka.ʒɛ,adjectif,-,-
bocagers,bɔ.ka.ʒɛ,adjectif_flexion,-,-
boentje,buntʃ,nom,-,-
boers,buːʁ,adjectif_flexion,err_phonemes,ː
boers,buːʁ,nom_flexion,err_phonemes,ː
boeuf,bœf,variante typographique,-,-
bogosité,bɔ.ɡɔ̃.zi.te,nom,-,-
bogosités,bɔ.ɡɔ̃.zi.te,nom_flexion,-,-
bohrates,bɔ.ʁat,nom_flexion,-,-
bohriate,bɔ.ʁiat,nom,-,-
bohriates,bɔ.ʁjat,nom_flexion,-,-
bohrium,bɔ.ʁjɔm,nom,-,-
bois,bwɑ,nom,-,-
bokmål,buk.mɔl,nom,err_letters,å
bolchévique,bɔl.ʃə.vik,adjectif,-,-
bolchéviste,bɔl.ʃə.vist,adjectif,-,-
bolchéviste,bɔl.ʃə.vist,nom,-,-
bolchévistes,bɔl.ʃə.vist,adjectif_flexion,-,-
bolchévistes,bɔl.ʃə.vist,nom_flexion,-,-
bon,ba.ta.jɔ̃,nom_num=4,-,-
bonding,bɔ̃(n).diŋ,nom,-,-
bondings,bɔ̃(n).diŋ,nom_flexion,-,-
bondologue,bɔ̃n.do.lɔɡ,nom,-,-
bondologues,bɔ̃n.do.lɔɡ,nom_flexion,-,-
bonsaïfia,bɔ̃.za.ji.fja,verbe_flexion,-,-
bonsaïfiai,bɔ̃.za.ji.fje,verbe_flexion,-,-
bonsaïfiaient,bɔ̃.za.ji.fjɛ,verbe_flexion,-,-
bonsaïfiais,bɔ̃.za.ji.fjɛ,verbe_flexion,-,-
bonsaïfiait,bɔ̃.za.ji.fjɛ,verbe_flexion,-,-
bonsaïfiant,bɔ̃.za.ji.fjɑ̃,verbe_flexion,-,-
bonsaïfias,bɔ̃.za.ji.fja,verbe_flexion,-,-
bonsaïfiasse,bɔ̃.za.ji.fjas,verbe_flexion,-,-
bonsaïfiassent,bɔ̃.za.ji.fjas,verbe_flexion,-,-
bonsaïfiasses,bɔ̃.za.ji.fjas,verbe_flexion,-,-
